school_ID,school_name,street_address,town,country,rating
1,Harmony Heights Academy,12 Primrose Lane,Willowshire,UK,Good
2,Riverdale Elementary School,34 Charing Cross Road,Hartfield,UK,Good
3,Renaissance High School,7 Windsor Avenue,Eldermere,UK,Outstanding
31,Regency Green Primary School,22 Regent Street,Trentham,UK,Requires Improvement
4,Emerald Grove School,45 Brookside Crescent,Thistleford,UK,Good
5,Horizon Springs Junior High,18 Abbey Gardens,Ashbourne,UK,Outstanding
6,Summit View Primary School,9 Trafalgar Square,Dunbridge,UK,Outstanding
7,Evergreen Valley School,63 Thornfield Road,Ravenshaw,UK,Good
8,Maplewood Central Elementary,5 Mayfair Lane,Bexford,UK,Requires Improvement
9,Crestwood Academy,28 Belgrave Terrace,Kingsmere,UK,Inadequate
10,Golden Gate School,14 Kensington Drive,Brookhaven,UK,Outstanding
38,Surrey Hills Primary School,31 Coventry Place,Chelsfield,UK,Outstanding
11,Liberty Hills School,8 Hampton Mews,Waverley,UK,Good
12,Unity Elementary School,42 St. James Square,Pendleton,UK,Good
13,Heritage Hills Primary School,17 Brompton Street,Marlowe,UK,outstanding
14,Meadowbrook Elementary,3 Lancaster Crescent,Chathamstead,UK,Inadequate
15,Skyline Academy,56 Ascot Close,Langford,UK,Good
16,Pleasant Valley Primary School,11 Buckingham Lane,Hamptonfield,UK,Good
17,Rosewood Elementary,27 Oxford Street,Evershaw,UK,Outstanding
18,Serenity Charter School,6 Sceptre Walk,Stourbridge,UK,Outstanding
19,Lakeside Primary School,38 Carlton Gardens,Bramley,UK,Requires Improvement
20,Willowbrook Primary School,2 Regency Road,Chesterton,UK,Good
21,Beacon Hills School,49 Eden Park Avenue,Wycliffe,UK,Good
22,Starlight Primary Academy,23 Waverley Street,Winthrop,UK,Good
23,Tiny Treasures School,4 Thistlebrook Lane,Hadley Green,UK,Good
34,Primrose Hill Academy School,33 Victoria Terrace,Farnworth,UK,Outstanding
24,Noble Oaks Primary School,10 Hampstead Lane,Marigold,UK,Outstanding
25,Oakridge Academic Primary,19 Elmwood Court,Wensleydale,UK,Outstanding
26,Scholars' Gate Elementary,50 Hadley Green,Cliftonshire,UK,Outstanding
27,Wisdom Grove School,15 Marlowe Avenue,Oakmere,UK,Good
28,Excellence Park Primary School,26 Somerset Square,Henley Park,UK,Good
29,Cambridge Grove Elementary School,41 Evershaw Road,Somersetton,UK,Outstanding
30,Coventry Scholars School,13 Chelsfield Lane,Bartonford,UK,Good
32,Hampstead Heights Academy,30 Ravenshaw Crescent,Saffronbridge,UK,Outstanding
33,Oxford Meadows Primary School,24 Langford Place,Halstead,UK,Outstanding
35,Ivybridge Academy School,1 Willowshire Close,Amberley,UK,Outstanding
36,Windsor Scholars School,35 Trentham Street,Thortonshire,UK,Good
37,Elmwood Manor Primary School,16 Ashbourne Place,Lyndhurst,UK,Good
39,Avalon International School,29 Stourbridge Lane,Redcliffe,UK,Requires Improvement
40,Sapphire Park Elementary School,21 Dunbridge Road,Windermere,UK,Good
41,,,,,
42,,,,,
43,,,,,
44,,,,,
45,,,,,
46,,,,,
47,,,,,
48,,,,,
49,,,,,
50,,,,,
